name,species,lon,lat,year,base,presvals
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.083333,-46.433333,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.833333,-46.433333,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.133333,-46.433333,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.166667,-46.433333,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.733333,-46.416667,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.7,-46.416667,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.05,-46.416667,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.4,-46.416667,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-46.416667,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.883333,-46.416667,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.966667,-46.416667,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65,-46.416667,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.116667,-46.416667,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.066667,-46.416667,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.8,-46.416667,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.866667,-46.35,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.05,-46.35,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.8,-46.35,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.166667,-46.35,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.833333,-46.35,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.066667,-46.35,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.333333,-46.35,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.866667,-46.35,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.116667,-46.316667,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.916667,-46.316667,2004,gbif,-0.6253730058670044
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.666667,-46.316667,2004,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.6,-46.316667,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.833333,-46.316667,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.8,-46.316667,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.8,-46.3,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.7,-46.3,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.966667,-46.3,2004,gbif,-0.6253730058670044
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.016667,-46.3,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.833333,-46.3,2004,gbif,-0.47514909505844116
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.183333,-46.3,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.733333,-46.233333,2004,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-66.116667,-46.233333,2004,gbif,-0.5502610206604004
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-65.7,-46.233333,2004,gbif,-0.40003716945648193
"Pleoticus muelleri (Spence Bate, 1888)",Pleoticus muelleri,-64.75,-46.233333,2004,gbif,-0.5502610206604004
